datetime,GHI,GHI_climatology,power_true_MW,power_clim_MW
3001,0,0.0,0.0,0.0
3002,0,0.0,0.0,0.0
3003,0,0.0,0.0,0.0
3004,0,0.0,0.0,0.0
3005,0,0.0,0.0,0.0
3006,19,29.348387096774193,0.77824,1.2021099354838711
3007,194,204.8516129032258,7.94624,8.39072206451613
3008,417,420.8,17.08032,17.235968
3009,632,632.6258064516129,25.88672,25.912353032258064
3010,819,812.0,33.54624,33.25952
3011,952,941.0516129032258,38.99392,38.54547406451613
3012,1025,1007.8451612903226,41.984,41.28133780645162
3013,1032,1018.3806451612903,42.27072,41.71287122580645
3014,974,951.2516129032258,39.89504,38.963266064516134
3015,851,820.5612903225806,34.85696,33.61019045161291
3016,676,657.9483870967742,27.68896,26.94956593548388
3017,463,453.8258064516129,18.96448,18.588705032258066
3018,237,240.9806451612903,9.70752,9.87056722580645
3019,41,52.464516129032255,1.67936,2.1489465806451618
3020,0,0.0,0.0,0.0
3021,0,0.0,0.0,0.0
3022,0,0.0,0.0,0.0
3023,0,0.0,0.0,0.0
3024,0,0.0,0.0,0.0
3025,0,0.0,0.0,0.0
3026,0,0.0,0.0,0.0
3027,0,0.0,0.0,0.0
3028,0,0.0,0.0,0.0
3029,0,0.0,0.0,0.0
3030,15,29.348387096774193,0.6144,1.2021099354838711
3031,192,204.8516129032258,7.86432,8.39072206451613
3032,402,420.8,16.46592,17.235968
3033,629,632.6258064516129,25.76384,25.912353032258064
3034,810,812.0,33.1776,33.25952
3035,941,941.0516129032258,38.54336,38.54547406451613
3036,1016,1007.8451612903226,41.61536,41.28133780645162
3037,1027,1018.3806451612903,42.06592,41.71287122580645
3038,958,951.2516129032258,39.23968,38.963266064516134
3039,837,820.5612903225806,34.28352,33.61019045161291
3040,665,657.9483870967742,27.2384,26.94956593548388
3041,456,453.8258064516129,18.67776,18.588705032258066
3042,234,240.9806451612903,9.58464,9.87056722580645
3043,41,52.464516129032255,1.67936,2.1489465806451618
3044,0,0.0,0.0,0.0
3045,0,0.0,0.0,0.0
3046,0,0.0,0.0,0.0
3047,0,0.0,0.0,0.0
3048,0,0.0,0.0,0.0
3049,0,0.0,0.0,0.0
3050,0,0.0,0.0,0.0
3051,0,0.0,0.0,0.0
3052,0,0.0,0.0,0.0
3053,0,0.0,0.0,0.0
3054,22,29.348387096774193,0.90112,1.2021099354838711
3055,202,204.8516129032258,8.27392,8.39072206451613
